timestamp,value,value_classification
2024-12-05,80,Extreme greed
2024-12-04,83,Extreme greed
2024-12-03,80,Extreme greed
2024-12-02,80,Extreme greed
2024-12-01,83,Extreme greed
2024-11-30,83,Extreme greed
2024-11-29,84,Extreme greed
2024-11-28,84,Extreme greed
2024-11-27,85,Extreme greed
2024-11-26,80,Extreme greed
2024-11-25,83,Extreme greed
2024-11-24,87,Extreme greed
2024-11-23,87,Extreme greed
2024-11-22,88,Extreme greed
2024-11-21,88,Extreme greed
2024-11-20,83,Extreme greed
2024-11-19,83,Extreme greed
2024-11-18,84,Extreme greed
2024-11-17,82,Extreme greed
2024-11-16,84,Extreme greed
2024-11-15,85,Extreme greed
2024-11-14,83,Extreme greed
2024-11-13,86,Extreme greed
2024-11-12,86,Extreme greed
2024-11-11,79,Greed
2024-11-10,74,Greed
2024-11-09,73,Greed
2024-11-08,72,Greed
2024-11-07,70,Greed
2024-11-06,62,Greed
2024-11-05,50,Neutral
2024-11-04,53,Neutral
2024-11-03,55,Neutral
2024-11-02,57,Neutral
2024-11-01,59,Neutral
2024-10-31,66,Greed
2024-10-30,67,Greed
2024-10-29,60,Greed
2024-10-28,54,Neutral
2024-10-27,52,Neutral
2024-10-26,50,Neutral
2024-10-25,56,Neutral
2024-10-24,52,Neutral
2024-10-23,56,Neutral
2024-10-22,57,Neutral
2024-10-21,63,Greed
2024-10-20,60,Greed
2024-10-19,61,Greed
2024-10-18,58,Neutral
2024-10-17,60,Greed
2024-10-16,58,Neutral
2024-10-15,56,Neutral
2024-10-14,45,Neutral
2024-10-13,46,Neutral
2024-10-12,43,Neutral
2024-10-11,37,Fear
2024-10-10,37,Fear
2024-10-09,42,Neutral
2024-10-08,41,Neutral
2024-10-07,43,Neutral
2024-10-06,41,Neutral
2024-10-05,41,Neutral
2024-10-04,36,Fear
2024-10-03,36,Fear
2024-10-02,39,Fear
2024-10-01,48,Neutral
2024-09-30,56,Neutral
2024-09-29,57,Neutral
2024-09-28,57,Neutral
2024-09-27,54,Neutral
2024-09-26,48,Neutral
2024-09-25,53,Neutral
2024-09-24,51,Neutral
2024-09-23,51,Neutral
2024-09-22,51,Neutral
2024-09-21,50,Neutral
2024-09-20,48,Neutral
2024-09-19,44,Neutral
2024-09-18,38,Fear
2024-09-17,34,Fear
2024-09-16,36,Fear
2024-09-15,38,Fear
2024-09-14,38,Fear
2024-09-13,33,Fear
2024-09-12,37,Fear
2024-09-11,37,Fear
2024-09-10,47,Neutral
2024-09-09,41,Neutral
2024-09-08,35,Fear
2024-09-07,26,Fear
2024-09-06,30,Fear
2024-09-05,34,Fear
2024-09-04,34,Fear
2024-09-03,47,Neutral
2024-09-02,43,Neutral
2024-09-01,46,Neutral
2024-08-31,46,Neutral
2024-08-30,46,Neutral
2024-08-29,46,Neutral
2024-08-28,47,Neutral
